full_path,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,Motor Hacmi,Alt Model,Yakıt,Motor Gücü,Üretim Yılları,Vites,Kasa Tipi
Otomobil > 2025 > Audi > A3 > Benzin > Hatchback 5 kapı > Otomatik > A3 Sportback > 2.0 TFSI,Otomobil,2025,Audi,A3,Benzin,Hatchback 5 kapı,Otomatik,A3 Sportback,2.0 TFSI,1984 cm3,A3 Sportback 2.0 TFSI Quattro S3,Benzin,333 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI All Street,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Sedan 4 kapı > Otomatik > A3 Sedan > 2.0 TFSI,Otomobil,2025,Audi,A3,Benzin,Sedan 4 kapı,Otomatik,A3 Sedan,2.0 TFSI,1984 cm3,A3 Sedan 2.0 TFSI Quattro S3,Benzin,333 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Benzin,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Benzin > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Benzin,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Hatchback 5 kapı > Otomatik > A3 Sportback > 2.0 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Hatchback 5 kapı,Otomatik,A3 Sportback,2.0 TFSI,1984 cm3,A3 Sportback 2.0 TFSI Quattro S3,Benzin & LPG,333 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI All Street,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
